"특성별(1)",특성별(2),2018,2018,2018,2018
"특성별(1)",특성별(2),사례수 (명),항상 맞이해 주신다 (%),가끔 맞이해 주신다 (%),항상 맞이해 주시지 못한다 (%)
"전체",소계,8563,66.6,24.3,9.1
"성별",남자,4318,68.3,23.2,8.4
"성별",여자,4245,64.8,25.4,9.8
"교급별",초등1년~초등3년,2847,71.2,19.3,9.4
"교급별",초등4년~초등6년,2996,63.1,27.7,9.2
"교급별",중등1년~중등3년,2720,65.4,25.8,8.8
"지역별",서울,1322,71.1,20.9,8.0
"지역별",인천/경기,2547,66.2,24.5,9.2
"지역별",대전/충청/세종/강원,1320,63.3,26.4,10.3
"지역별",광주/전라/제주,1241,61.3,27.4,11.3
"지역별",부산/울산/경남,1225,66.9,25.5,7.7
"지역별",대구/경북,908,72.1,20.0,7.8
"지역형태별",동부,6788,66.8,24.4,8.8
"지역형태별",읍면부,1775,65.5,24.1,10.4
